""   ,"Team" ,"Abbr" ,"EPA/play" ,"Success Rate (SR)" ,"Dropback EPA" ,"Dropback SR" ,"Rush EPA" ,"Rush SR"
"1"  ,""     ,"WAS"  ,"0.317"    ,"53.0%"             ,"0.409"        ,"58.3%"       ,"0.195"    ,"45.9%"
"2"  ,""     ,"BAL"  ,"0.137"    ,"48.7%"             ,"0.120"        ,"48.9%"       ,"0.155"    ,"48.4%"
"3"  ,""     ,"DET"  ,"0.090"    ,"50.2%"             ,"0.086"        ,"49.6%"       ,"0.093"    ,"50.8%"
"4"  ,""     ,"CIN"  ,"0.133"    ,"49.4%"             ,"0.156"        ,"51.9%"       ,"0.090"    ,"44.6%"
"5"  ,""     ,"NO"   ,"0.123"    ,"45.6%"             ,"0.211"        ,"45.2%"       ,"0.049"    ,"45.9%"
"6"  ,""     ,"LA"   ,"0.028"    ,"48.0%"             ,"0.026"        ,"47.4%"       ,"0.032"    ,"49.0%"
"7"  ,""     ,"JAX"  ,"-0.091"   ,"41.3%"             ,"-0.144"       ,"40.6%"       ,"0.004"    ,"42.4%"
"8"  ,""     ,"PHI"  ,"0.018"    ,"44.0%"             ,"0.042"        ,"45.1%"       ,"-0.019"   ,"42.5%"
"9"  ,""     ,"BUF"  ,"0.172"    ,"46.9%"             ,"0.316"        ,"50.8%"       ,"-0.026"   ,"41.5%"
"10" ,""     ,"KC"   ,"0.027"    ,"49.4%"             ,"0.067"        ,"48.6%"       ,"-0.032"   ,"50.5%"
"11" ,""     ,"TEN"  ,"-0.177"   ,"39.1%"             ,"-0.270"       ,"40.4%"       ,"-0.044"   ,"37.3%"
"12" ,""     ,"DAL"  ,"-0.023"   ,"40.9%"             ,"-0.008"       ,"43.0%"       ,"-0.055"   ,"36.5%"
"13" ,""     ,"SF"   ,"0.095"    ,"46.4%"             ,"0.215"        ,"51.0%"       ,"-0.057"   ,"40.5%"
"14" ,""     ,"MIN"  ,"0.070"    ,"48.7%"             ,"0.174"        ,"52.3%"       ,"-0.063"   ,"44.1%"
"15" ,""     ,"TB"   ,"0.081"    ,"48.1%"             ,"0.165"        ,"53.7%"       ,"-0.071"   ,"38.1%"
"16" ,""     ,"IND"  ,"-0.021"   ,"41.0%"             ,"0.019"        ,"41.3%"       ,"-0.071"   ,"40.6%"
"17" ,""     ,"GB"   ,"0.009"    ,"38.0%"             ,"0.088"        ,"41.0%"       ,"-0.079"   ,"34.6%"
"18" ,""     ,"SEA"  ,"0.034"    ,"48.0%"             ,"0.087"        ,"52.6%"       ,"-0.082"   ,"37.9%"
"19" ,""     ,"DEN"  ,"-0.176"   ,"37.9%"             ,"-0.224"       ,"36.4%"       ,"-0.087"   ,"40.7%"
"20" ,""     ,"NYJ"  ,"0.010"    ,"43.4%"             ,"0.076"        ,"45.7%"       ,"-0.109"   ,"39.3%"
"21" ,""     ,"LAC"  ,"-0.091"   ,"38.5%"             ,"-0.070"       ,"42.2%"       ,"-0.111"   ,"34.8%"
"22" ,""     ,"ARI"  ,"0.035"    ,"45.7%"             ,"0.158"        ,"50.4%"       ,"-0.119"   ,"39.8%"
"23" ,""     ,"CAR"  ,"-0.140"   ,"39.9%"             ,"-0.144"       ,"37.7%"       ,"-0.132"   ,"43.8%"
"24" ,""     ,"CLE"  ,"-0.206"   ,"33.8%"             ,"-0.231"       ,"33.7%"       ,"-0.142"   ,"34.2%"
"25" ,""     ,"CHI"  ,"-0.131"   ,"39.8%"             ,"-0.121"       ,"42.9%"       ,"-0.149"   ,"33.7%"
"26" ,""     ,"NE"   ,"-0.166"   ,"40.0%"             ,"-0.172"       ,"41.1%"       ,"-0.158"   ,"38.5%"
"27" ,""     ,"ATL"  ,"0.019"    ,"44.6%"             ,"0.121"        ,"48.5%"       ,"-0.175"   ,"37.0%"
"28" ,""     ,"NYG"  ,"-0.068"   ,"39.0%"             ,"-0.005"       ,"41.3%"       ,"-0.183"   ,"34.8%"
"29" ,""     ,"PIT"  ,"-0.025"   ,"40.9%"             ,"0.114"        ,"45.5%"       ,"-0.188"   ,"35.5%"
"30" ,""     ,"HOU"  ,"-0.008"   ,"40.3%"             ,"0.083"        ,"43.0%"       ,"-0.192"   ,"34.8%"
"31" ,""     ,"MIA"  ,"-0.258"   ,"36.7%"             ,"-0.210"       ,"36.0%"       ,"-0.330"   ,"37.7%"
"32" ,""     ,"LV"   ,"-0.147"   ,"41.3%"             ,"0.001"        ,"48.8%"       ,"-0.461"   ,"25.6%"
