""   ,"Team" ,"Abbr" ,"EPA/play" ,"Success Rate (SR)" ,"Dropback EPA" ,"Dropback SR" ,"Rush EPA" ,"Rush SR"
"1"  ,""     ,"LAC"  ,"-0.185"   ,"37.8%"             ,"-0.151"       ,"40.4%"       ,"-0.242"   ,"33.3%"
"2"  ,""     ,"GB"   ,"-0.065"   ,"46.6%"             ,"0.034"        ,"52.2%"       ,"-0.240"   ,"36.7%"
"3"  ,""     ,"PIT"  ,"-0.138"   ,"39.2%"             ,"-0.075"       ,"43.1%"       ,"-0.235"   ,"33.3%"
"4"  ,""     ,"TEN"  ,"-0.133"   ,"35.9%"             ,"-0.080"       ,"33.1%"       ,"-0.194"   ,"39.3%"
"5"  ,""     ,"MIN"  ,"-0.189"   ,"38.1%"             ,"-0.195"       ,"39.1%"       ,"-0.174"   ,"35.1%"
"6"  ,""     ,"BAL"  ,"0.008"    ,"40.1%"             ,"0.079"        ,"45.0%"       ,"-0.170"   ,"27.8%"
"7"  ,""     ,"DEN"  ,"-0.174"   ,"38.1%"             ,"-0.181"       ,"40.7%"       ,"-0.164"   ,"33.7%"
"8"  ,""     ,"KC"   ,"-0.044"   ,"44.6%"             ,"0.020"        ,"47.6%"       ,"-0.160"   ,"39.1%"
"9"  ,""     ,"IND"  ,"-0.004"   ,"42.2%"             ,"0.124"        ,"47.2%"       ,"-0.150"   ,"36.6%"
"10" ,""     ,"JAX"  ,"0.123"    ,"43.4%"             ,"0.279"        ,"49.2%"       ,"-0.144"   ,"33.7%"
"11" ,""     ,"DET"  ,"0.024"    ,"47.4%"             ,"0.090"        ,"50.5%"       ,"-0.138"   ,"39.7%"
"12" ,""     ,"NO"   ,"-0.160"   ,"37.8%"             ,"-0.172"       ,"38.4%"       ,"-0.132"   ,"36.5%"
"13" ,""     ,"MIA"  ,"-0.012"   ,"40.3%"             ,"0.107"        ,"46.8%"       ,"-0.128"   ,"33.9%"
"14" ,""     ,"SF"   ,"-0.085"   ,"43.2%"             ,"-0.066"       ,"43.7%"       ,"-0.114"   ,"42.5%"
"15" ,""     ,"CLE"  ,"-0.051"   ,"41.1%"             ,"-0.012"       ,"42.5%"       ,"-0.110"   ,"39.0%"
"16" ,""     ,"NE"   ,"0.083"    ,"47.2%"             ,"0.183"        ,"51.5%"       ,"-0.097"   ,"39.6%"
"17" ,""     ,"SEA"  ,"-0.091"   ,"38.7%"             ,"-0.092"       ,"38.5%"       ,"-0.091"   ,"39.0%"
"18" ,""     ,"CHI"  ,"-0.148"   ,"39.7%"             ,"-0.191"       ,"39.7%"       ,"-0.090"   ,"39.6%"
"19" ,""     ,"NYG"  ,"0.014"    ,"44.3%"             ,"0.064"        ,"45.7%"       ,"-0.067"   ,"41.9%"
"20" ,""     ,"PHI"  ,"0.111"    ,"43.7%"             ,"0.200"        ,"46.8%"       ,"-0.026"   ,"39.0%"
"21" ,""     ,"NYJ"  ,"-0.107"   ,"39.5%"             ,"-0.171"       ,"36.2%"       ,"-0.023"   ,"43.9%"
"22" ,""     ,"ATL"  ,"0.044"    ,"47.8%"             ,"0.097"        ,"47.8%"       ,"-0.020"   ,"47.7%"
"23" ,""     ,"HOU"  ,"-0.023"   ,"42.5%"             ,"-0.028"       ,"42.9%"       ,"-0.015"   ,"41.9%"
"24" ,""     ,"CAR"  ,"0.099"    ,"47.7%"             ,"0.191"        ,"53.7%"       ,"-0.001"   ,"41.3%"
"25" ,""     ,"WAS"  ,"0.203"    ,"51.1%"             ,"0.344"        ,"54.0%"       ,"0.006"    ,"46.9%"
"26" ,""     ,"LV"   ,"0.007"    ,"42.7%"             ,"0.007"        ,"43.8%"       ,"0.008"    ,"40.9%"
"27" ,""     ,"ARI"  ,"0.123"    ,"54.4%"             ,"0.223"        ,"60.2%"       ,"0.017"    ,"48.3%"
"28" ,""     ,"TB"   ,"0.064"    ,"47.0%"             ,"0.077"        ,"49.8%"       ,"0.036"    ,"40.9%"
"29" ,""     ,"CIN"  ,"0.104"    ,"49.4%"             ,"0.142"        ,"49.6%"       ,"0.058"    ,"49.1%"
"30" ,""     ,"LA"   ,"0.194"    ,"50.8%"             ,"0.312"        ,"52.6%"       ,"0.066"    ,"48.8%"
"31" ,""     ,"BUF"  ,"-0.071"   ,"41.8%"             ,"-0.167"       ,"41.7%"       ,"0.069"    ,"42.1%"
"32" ,""     ,"DAL"  ,"0.062"    ,"40.0%"             ,"0.041"        ,"36.9%"       ,"0.087"    ,"43.7%"
