,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
0,SI,2024-06-10,94.3,-2.04,5.59,"Berríos, José",642715,621244,sac_fly,hit_into_play,,,,,13,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,X,7.0,fly_ball,3,2,2024,-1.4,0.73,-1.15,2.25,668930.0,,661388.0,1,6,Bot,89.84,93.93,,,672386,,,5.459973480534529,-137.2251945386073,-4.611360485832855,-18.95743622314144,29.892363957413146,-22.18212698526185,3.45,1.7,252.0,81.3,49.0,94.8,2052,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.93,0.043,0.049,0.0,1.0,0.0,0.0,3.0,42,7,Sinker,2,1,2,1,1,3,3,1,Standard,Standard,231,0.038,-0.206,76.4704,8.19128
1,CH,2024-06-10,87.4,-1.98,5.56,"Berríos, José",642715,621244,,foul,,,,,13,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,S,,,3,2,2024,-1.3,0.5,-0.14,1.26,668930.0,,661388.0,1,6,Bot,,,,,672386,,,7.133686838888337,-126.96732163519926,-5.259444289617835,-15.570494400404357,26.04334190814955,-25.858730342722986,3.45,1.7,7.0,97.6,-10.0,87.8,1651,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.89,,,,,,,,42,6,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,254,0.0,0.0,73.88054,9.40757
2,CH,2024-06-10,86.2,-2.01,5.56,"Berríos, José",642715,621244,,ball,,,,,13,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,B,,,2,2,2024,-1.15,0.41,-0.71,1.2,668930.0,,661388.0,1,6,Bot,,,,,672386,,,5.456236435568516,-125.43126861411508,-4.999453160429216,-13.285048895236576,24.66432697689915,-27.066592746643515,3.48,1.7,,,,86.5,1611,6.4,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.06,,,,,,,,42,5,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,258,0.0,0.122,,
3,SI,2024-06-10,94.0,-1.77,5.71,"Berríos, José",642715,621244,,called_strike,,,,,7,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,S,,,2,1,2024,-1.16,0.94,-0.54,1.74,668930.0,,661388.0,1,6,Bot,,,,,672386,,,5.784469372808685,-136.79092316648752,-6.717804017970673,-15.853057729843597,28.835207429418865,-19.02662743516092,3.49,1.74,,,,94.7,2029,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.93,,,,,,,,42,4,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,224,0.0,-0.12,,
4,CH,2024-06-10,85.7,-2.14,5.52,"Berríos, José",642715,621244,,foul,,,,,8,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,S,,,2,0,2024,-1.2,0.54,0.24,1.75,668930.0,,661388.0,1,6,Bot,,,,,672386,,,8.059353774856605,-124.59010691047936,-3.7641518192145096,-14.07071396528628,24.394182885686224,-25.94078446751317,3.45,1.7,,,,86.1,1500,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.97,,,,,,,,42,3,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,254,0.0,-0.117,74.17755,8.4339
5,CH,2024-06-10,86.7,-1.96,5.48,"Berríos, José",642715,621244,,blocked_ball,,,,,13,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,B,,,1,0,2024,-1.34,0.64,-0.38,0.8,668930.0,,661388.0,1,6,Bot,,,,,672386,,,6.549791042253775,-126.08889293766848,-6.343581693086905,-15.586798086620904,25.18597291677612,-24.283580818125685,3.61,1.72,,,,87.3,1723,6.7,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.84,,,,,,,,42,2,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,253,0.0,0.038,,
6,SI,2024-06-10,93.4,-1.94,5.64,"Berríos, José",642715,621244,,ball,,,,,11,Willy Adames out on a sacrifice fly to left fielder Davis Schneider.   Brice Turang scores.    William Contreras to 2nd.,R,R,R,MIL,TOR,B,,,0,0,2024,-1.41,0.91,-1.5,2.9,668930.0,,661388.0,1,6,Bot,,,,,672386,,,4.255035569512415,-136.00685227739575,-3.3435929418798707,-18.380227168644435,29.72931541564915,-20.356496447669805,3.6,1.75,,,,93.9,2112,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.98,,,,,,,,42,1,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,223,0.0,0.038,,
7,CH,2024-06-10,85.5,-2.0,5.49,"Berríos, José",592885,621244,strikeout,called_strike,,,,,8,Christian Yelich called out on strikes.,R,L,R,MIL,TOR,S,2.0,,3,2,2024,-1.06,0.42,0.19,1.5,668930.0,,661388.0,0,6,Bot,,,,,672386,,,7.325684020519288,-124.3781979892398,-4.002966870580185,-12.442409641911803,23.90408013909882,-27.236106572786657,3.35,1.38,,,,86.0,1444,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.94,,0.0,0.0,1.0,0.0,0.0,,41,7,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,255,-0.049,-0.544,,
8,FF,2024-06-10,93.9,-1.94,5.5,"Berríos, José",592885,621244,,ball,,,,,11,Christian Yelich called out on strikes.,R,L,R,MIL,TOR,B,,,2,2,2024,-0.95,1.34,-0.23,3.88,668930.0,,661388.0,0,6,Bot,,,,,672386,,,6.556073575182234,-136.6100512369239,-1.4320580152595386,-13.383372096451923,29.831099581024,-15.27976346003827,3.3,1.81,,,,94.1,2371,6.4,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.09,,,,,,,,41,6,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,224,0.0,0.09,,
9,SI,2024-06-10,94.0,-1.68,5.75,"Berríos, José",592885,621244,,foul,,,,,2,Christian Yelich called out on strikes.,R,L,R,MIL,TOR,S,,,2,2,2024,-1.19,1.15,-0.15,3.33,668930.0,,661388.0,0,6,Bot,,,,,672386,,,6.632635078404382,-136.75620238698605,-3.1142937213836586,-16.45182695680629,29.682295810899657,-17.268699028401006,3.3,1.67,215.0,76.9,23.0,94.3,2097,6.4,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.05,,,,,,,,41,5,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,227,0.0,0.0,69.76637,6.34693
