,pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
0,SI,94.4,-2.12,4.94,,,,,13.0,R,R,X,1,1,-1.66,0.49,-0.91,2.24,,,,2,6,6.956508899009699,-137.28441350830272,-2.407290574673842,-22.55319796256334,32.822445438189504,-25.64862747867014,3.34,1.58,2229.0,7.0,53.45,60,3,Sinker,233.0
1,SI,94.7,-2.21,4.93,,,,,13.0,R,R,S,1,0,-1.56,0.66,-1.12,2.07,,,,2,6,6.440947681286044,-137.67628837333925,-3.247145962433083,-21.31594015267968,32.682317121038324,-23.303382581432164,3.34,1.58,2238.0,7.2,53.32,60,2,Sinker,229.0
2,SI,94.4,-2.21,4.92,,,,,13.0,R,R,B,0,0,-1.61,0.61,-1.03,1.1,,,,2,6,6.767024790975387,-137.22805878898225,-5.637500969294416,-21.80331228419765,32.646309480636994,-23.30425463676112,3.32,1.67,2249.0,7.2,53.35,60,1,Sinker,234.0
3,SI,94.7,-2.18,4.99,,,,,8.0,R,R,X,1,1,-1.34,0.49,0.04,1.8,,,,1,6,8.942233952317954,-137.5716910981406,-3.737052042635316,-19.01108093530713,32.017283632761064,-25.311571928652487,3.43,1.63,2289.0,7.2,53.27,59,3,Sinker,224.0
4,SI,93.5,-2.22,4.8,,,,,13.0,R,R,B,0,1,-1.38,0.6,-1.04,0.44,,,,1,6,6.199621710582405,-135.9493499131847,-6.893570961107711,-18.48085990186808,31.12457938815469,-23.40188549107509,3.39,1.64,2233.0,7.3,53.23,59,2,Sinker,231.0
5,FF,95.6,-2.36,5.07,,,,,1.0,R,R,S,0,0,-0.92,1.52,-0.46,2.98,,,,1,6,7.18056514450978,-138.9459452602823,-3.305349354756878,-13.60410250354663,33.6630497426877,-12.019618596139374,3.43,1.63,2478.0,7.1,53.4,59,1,4-Seam Fastball,226.0
7,FC,90.9,-2.34,5.05,,,,,12.0,L,R,B,0,1,0.04,0.93,0.08,3.95,,,,0,6,6.046405339471335,-132.3039404275724,1.2008553837221672,-0.9158944877573324,29.191768021076022,-21.748875718104305,3.4,1.55,2561.0,6.9,53.56,58,2,Cutter,209.0
9,SI,94.0,-2.13,5.05,,,,,11.0,R,R,X,0,0,-1.37,0.79,-1.31,2.6,,,,2,5,5.245562566713679,-136.77138969078217,-2.3551954055432693,-18.3355822720165,32.35966959470834,-21.964897737949425,3.41,1.56,2236.0,7.1,53.38,49,1,Sinker,224.0
10,ST,85.5,-2.37,4.94,,,,,2.0,R,R,S,2,2,1.33,0.16,-0.03,3.13,,,,1,5,2.8484980873278287,-124.3792488129822,1.8092685230602616,13.032093692997238,28.528080171168103,-31.194341018753427,3.5,1.61,2574.0,6.8,53.67,48,5,Sweeper,72.0
11,FF,91.8,-2.51,4.88,,,,,1.0,R,R,S,2,1,-1.01,1.24,-0.55,3.33,,,,1,5,7.210827783279258,-133.4779679302887,-0.728235720205197,-13.708110216550564,30.825671923105844,-17.450222705003476,3.43,1.57,2353.0,6.9,53.63,48,4,4-Seam Fastball,235.0
