pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
SL,88.3,-1.24,6.0,,,,,7.0,R,R,X,1,1,0.09,0.13,-0.02,1.46,,,643289.0,1,9,2.800648877915408,-128.5767189275464,-5.292163519831005,0.4570211186061835,26.60623115548373,-29.82300211015713,2.91,1.3,2762.0,6.7,53.83,63,3,Slider,56.0
FF,96.3,-1.22,6.12,,,,,10.0,R,R,S,1,0,0.06,1.58,0.33,3.38,,,643289.0,1,9,3.9816001547661792,-140.0679332353798,-5.3021254678066905,-0.1429260064415796,33.00565793498363,-10.44288101810744,2.91,1.3,2472.0,6.7,53.81,63,2,4-Seam Fastball,188.0
SL,87.8,-1.19,6.06,,,,,9.0,R,R,B,0,0,0.14,0.25,-0.79,3.34,,,643289.0,1,9,0.6749871925766309,-127.9287723186202,-0.9986923336187244,1.4428879162003143,26.27201173169969,-29.39870886522096,2.91,1.27,2723.0,6.7,53.77,63,1,Slider,96.0
SL,87.1,-1.09,5.94,,,,,1.0,R,R,S,3,2,0.13,0.24,-0.26,3.28,,,643289.0,0,9,1.7359787538558538,-126.94919466081502,-0.7563976095873113,1.0372405993840723,24.8683359827294,-29.62829728314404,3.25,1.35,2659.0,6.6,53.86,62,6,Slider,111.0
SL,87.6,-1.23,5.9,,,,,12.0,R,R,B,2,2,0.15,0.03,1.13,1.6,,,643289.0,0,9,5.450541394664035,-127.52423995396283,-4.357374611725166,0.4919493915890844,26.73034883311312,-31.103969868740503,3.27,1.52,2679.0,6.8,53.68,62,5,Slider,110.0
SL,87.6,-1.24,6.03,,,,,1.0,R,R,S,2,1,0.1,0.16,-0.24,3.44,,,643289.0,0,9,2.236993532099706,-127.73558570875444,-0.4994567205530094,0.6231796515971476,24.4611818300911,-30.5444392521139,3.34,1.37,2584.0,6.6,53.87,62,4,Slider,132.0
SL,88.6,-1.26,5.9,,,,,12.0,R,R,B,1,1,0.25,0.09,0.81,0.05,,,643289.0,0,9,4.56347946386293,-128.77261250160038,-8.439333648874042,1.861345123418004,25.827222846645714,-29.66404915336016,3.27,1.52,2802.0,6.6,53.87,62,3,Slider,137.0
FF,95.3,-1.12,6.14,,,,,4.0,R,R,S,1,0,-0.42,1.54,0.03,2.26,,,643289.0,0,9,4.01396554812426,-138.61707826881872,-8.082504286079137,-6.347160612898601,29.90164901414257,-10.704641393552173,3.34,1.52,2467.0,6.6,53.89,62,2,4-Seam Fastball,183.0
SL,87.1,-1.16,6.03,,,,,12.0,R,R,B,0,0,0.07,0.23,0.9,1.09,,,643289.0,0,9,4.826975813720051,-126.73421052887907,-6.226370685965172,-0.1976609879154203,25.078422657331508,-28.689610928507133,3.34,1.52,2573.0,6.7,53.77,62,1,Slider,162.0
SL,88.2,-0.9,6.0,,,,,12.0,R,R,X,0,1,0.25,0.03,0.88,1.14,,,,0,9,3.813604872495711,-128.42545567548635,-5.883992532808459,2.095257340120082,24.173518506116206,-30.900402188984803,3.43,1.63,2892.0,6.5,53.96,61,2,Slider,90.0
SL,87.9,-0.92,6.07,,,,,4.0,R,R,S,0,0,0.23,0.19,-0.15,2.51,,,,0,9,1.3862744968495972,-128.08324569559537,-3.006278612904024,2.3108299391764,23.89109370476101,-29.733298115395325,3.43,1.63,2743.0,6.5,53.95,61,1,Slider,107.0
FF,98.1,-1.07,6.17,,,,,3.0,L,R,X,1,0,-0.63,1.41,-0.54,2.64,,,,2,8,2.922455799952319,-142.7787050509064,-7.353163743637868,-9.314116219207984,32.351101026146786,-11.343195338886568,3.49,1.68,2563.0,6.5,54.05,53,2,4-Seam Fastball,186.0
FF,97.5,-1.01,6.15,,,,,1.0,L,R,B,0,0,0.04,1.43,-0.2,3.71,,,,2,8,2.1132370616321725,-142.0410172464836,-4.361660494637372,0.0341754273130675,32.53287600524816,-12.02251677282772,3.64,1.72,2449.0,6.5,53.96,53,1,4-Seam Fastball,193.0
FF,98.1,-0.73,6.16,,,,,1.0,R,R,X,1,1,-0.09,1.39,0.08,3.56,,,,1,8,2.4151664971504,-142.82946993751446,-4.780595773942514,-1.8181994465132385,33.22557104481112,-12.27070215589736,3.6,1.72,2441.0,6.5,53.98,52,3,4-Seam Fastball,189.0
FF,97.1,-0.85,6.14,,,,,0.0,R,R,S,1,0,-0.35,1.29,-0.45,3.57,,,,1,8,1.8759659143866776,-141.47910405848293,-4.38450300410494,-5.077150935272575,30.002680291123184,-13.958687925079682,3.6,1.72,2418.0,6.4,54.11,52,2,4-Seam Fastball,191.0
ST,83.0,-0.99,5.91,,,,,12.0,R,R,B,0,0,0.83,-1.04,1.32,1.59,,,,1,8,3.6666165265189536,-120.73705634992466,-1.3026218060773478,7.310884291160213,25.91308357597624,-42.20830923983485,3.66,1.72,2915.0,6.4,54.05,52,1,Sweeper,29.0
FF,96.9,-1.09,6.16,,,,,1.0,L,R,X,1,0,-0.1,1.36,0.1,2.84,,,,0,8,3.42422031706072,-141.04811609126608,-6.458223574766175,-2.1691399554917963,31.638605761264845,-12.743586678034616,3.23,1.53,2635.0,6.6,53.93,51,2,4-Seam Fastball,185.0
KC,83.1,-0.82,6.08,,,,,11.0,L,R,B,0,0,0.15,-1.41,-0.32,1.38,,,,0,8,0.8450536830154374,-121.02652084747494,-1.513296523736375,1.3426212382669815,24.55577847986792,-45.90085941354638,3.25,1.53,2730.0,6.5,54.04,51,1,Knuckle Curve,25.0
SL,88.0,-0.88,6.0,,,,,0.0,R,R,X,0,1,0.18,0.02,-0.41,2.81,,,,2,7,0.7386951002770289,-128.15449362569987,-1.631560199986961,1.857767970474805,28.38612926676152,-31.774934725741552,3.17,1.49,2790.0,6.4,54.15,47,2,Slider,90.0
KC,82.5,-0.74,6.05,,,,,8.0,R,R,S,0,0,0.06,-1.4,0.48,1.83,,,,2,7,2.672648654048781,-120.03575119872208,-0.2833127229582364,0.0069186786412886,26.04537323223281,-45.73686660631471,3.17,1.49,2664.0,6.5,53.97,47,1,Knuckle Curve,20.0
FF,97.4,-0.94,6.09,,,,,0.0,R,R,X,2,2,-0.15,1.18,-0.33,2.97,,,,1,7,1.998613338159244,-141.8649845220976,-5.593387648330549,-2.546577926764458,32.583870295053224,-15.194985902723523,3.29,1.6,2420.0,6.5,54.02,46,7,4-Seam Fastball,192.0
SL,89.3,-0.99,6.07,,,,,12.0,R,R,S,2,2,0.36,0.13,1.3,1.88,,,,1,7,4.870585163920228,-130.07827010990198,-4.613663942396227,3.1846882798729164,25.72880254451136,-30.00756990391502,3.29,1.6,2935.0,6.5,54.03,46,6,Slider,91.0
SL,88.8,-0.91,6.01,,,,,12.0,R,R,S,2,2,0.2,-0.11,1.44,1.8,,,,1,7,5.322101436662245,-129.1618791531796,-4.030801903824361,1.093794739322828,27.387497441348287,-32.71844230803205,3.29,1.6,2875.0,6.4,54.12,46,5,Slider,69.0
FF,96.5,-0.67,6.14,,,,,3.0,R,R,S,2,1,-0.17,1.39,-0.52,2.15,,,,1,7,0.7850059325948996,-140.30725331713805,-8.201670210359243,-2.447818343470935,33.76311037245853,-12.105441416311438,3.29,1.6,2488.0,6.5,54.03,46,4,4-Seam Fastball,188.0
KC,81.7,-0.86,5.96,,,,,12.0,R,R,B,1,1,0.27,-1.62,0.58,0.4,,,,1,7,2.731879875772468,-118.82883695746568,-2.684936012161455,1.9356964676016464,27.072969882923623,-46.98389277697272,3.34,1.6,2830.0,6.7,53.83,46,3,Knuckle Curve,24.0
