,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
733,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,1,REG,ATL,8,10,98.0,1,0.0,1.0,1.0,1,0,51.0,42.0,4.0,8.418865,0,1.9215686,0.33490586,6,4.0,1,1.0,0.0,3.0,-1.3698674,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.32,14.32
734,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,2,REG,GB,14,32,230.0,1,2.0,1.0,7.0,1,1,335.0,115.0,6.0,-13.416737,0,0.6865672,-0.029430058,2,17.0,0,1.0,0.0,1.0,2.2465022,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.9,8.9
735,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,3,REG,LV,15,21,174.0,1,0.0,0.0,-0.0,0,0,100.0,103.0,8.0,8.0768,0,1.74,0.2074471,4,16.0,0,0.0,0.0,1.0,0.74371046,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.56,12.56
736,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,4,REG,CHI,27,36,233.0,0,0.0,6.0,51.0,2,1,203.0,110.0,9.0,-9.14922,0,1.1477833,0.041209053,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,7.32,7.32
737,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,5,REG,NYG,22,27,306.0,2,0.0,3.0,27.0,0,0,217.0,195.0,14.0,20.158924,0,1.4101382,0.36458954,3,3.0,0,1.0,0.0,0.0,-6.10372,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.54,20.54
738,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,6,REG,PHI,22,29,333.0,4,1.0,1.0,8.0,0,0,374.0,124.0,14.0,16.515345,0,0.8903743,0.34508157,2,0.0,0,0.0,0.0,0.0,1.5888207,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,27.32,27.32
739,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,7,REG,DET,24,34,338.0,4,0.0,0.0,-0.0,0,0,379.0,114.0,19.0,25.224983,0,0.8918206,0.33616403,4,-3.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,29.22,29.22
740,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,8,REG,WAS,23,26,285.0,0,0.0,3.0,12.0,0,0,95.0,188.0,9.0,12.152223,0,3.0,0.24571918,2,2.0,0,0.0,0.0,1.0,-3.334757,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.6,11.6
741,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,9,REG,KC,19,38,220.0,3,0.0,1.0,8.0,0,0,258.0,123.0,12.0,10.4256,0,0.85271317,0.05575124,1,5.0,0,0.0,0.0,0.0,-0.62586963,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.3,21.3
742,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2019,10,REG,DAL,23,32,220.0,2,0.0,1.0,9.0,0,0,188.0,147.0,15.0,10.708838,1,1.1702127,0.21861915,1,5.0,0,0.0,0.0,0.0,0.11636619,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,19.3,19.3
