,game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,passing_drops,passing_drop_pct,receiving_drop,receiving_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,def_times_blitzed,def_times_hurried,def_times_hitqb
0,2024_01_BAL_KC,202409050kan,2024,1,REG,KC,BAL,Patrick Mahomes,MahoPa00,2.0,0.074,,,2.0,0.074,2.0,4.0,5.0,4.0,11.0,0.367,,,
1,2024_01_BAL_KC,202409050kan,2024,1,REG,BAL,KC,Lamar Jackson,JackLa00,0.0,0.0,,,11.0,0.275,1.0,13.0,10.0,1.0,12.0,0.235,,,
2,2024_01_GB_PHI,202409060phi,2024,1,REG,PHI,GB,Jalen Hurts,HurtJa00,0.0,0.0,,,5.0,0.172,2.0,7.0,4.0,3.0,9.0,0.231,,,
3,2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Jordan Love,LoveJo03,4.0,0.129,,,6.0,0.194,1.0,10.0,2.0,3.0,6.0,0.171,,,
4,2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Malik Willis,WillMa12,0.0,0.0,,,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,,,
5,2024_01_PIT_ATL,202409080atl,2024,1,REG,ATL,PIT,Kirk Cousins,CousKi00,0.0,0.0,,,4.0,0.174,2.0,3.0,2.0,5.0,9.0,0.321,,,
6,2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,Justin Fields,FielJu00,0.0,0.0,,,4.0,0.182,2.0,4.0,1.0,1.0,4.0,0.138,,,
7,2024_01_ARI_BUF,202409080buf,2024,1,REG,BUF,ARI,Josh Allen,AlleJo02,0.0,0.0,,,3.0,0.13,2.0,7.0,1.0,1.0,4.0,0.138,,,
8,2024_01_ARI_BUF,202409080buf,2024,1,REG,ARI,BUF,Kyler Murray,MurrKy00,4.0,0.129,,,3.0,0.097,4.0,9.0,4.0,2.0,10.0,0.263,,,
9,2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,Caleb Williams,WillCa03,1.0,0.037,,,9.0,0.333,2.0,9.0,4.0,3.0,9.0,0.273,,,
