,season,season_type,week,player_display_name,player_position,team_abbr,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
4714,2024,REG,0,Jalen Hurts,QB,PHI,3.174465346534653,5.011388888888888,7.340319148936169,-2.328930260047281,13.725490196078432,42.27007570374105,-1.3298936170212772,102,772,3,4,85.90686274509804,72,70.58823529411765,62.95769860712337,7.630536686994283,21.120240622071208,50.69794966268359,00-0036389,Jalen,Hurts,1,J.Hurts
4715,2024,REG,0,Sam Darnold,QB,MIN,3.0256363636363637,7.063018867924528,7.7436986301369855,-0.6806797622124572,11.538461538461538,53.9298368252677,-1.3110958904109593,78,657,8,2,117.3076923076923,53,67.94871794871796,62.60032806641016,5.348389882307799,21.23729620772443,53.9298368252677,00-0034869,Sam,Darnold,14,S.Darnold
4716,2024,REG,0,Malik Willis,QB,GB,2.295,4.219200000000001,5.878787878787879,-1.6595878787878782,11.76470588235294,44.650300110973504,-4.151515151515151,34,324,2,0,122.671568627451,25,73.52941176470588,71.7250302872237,1.8043814774821811,21.412411878783985,51.58120975704234,00-0038128,Malik,Willis,2,M.Willis
4717,2024,REG,0,Deshaun Watson,QB,CLE,2.864198275862069,4.2167164179104475,7.525045045045045,-3.308328627134597,17.24137931034483,43.003583571604814,-2.5380180180180183,116,551,3,2,71.44396551724138,67,57.758620689655174,63.81198590910383,-6.053365219448658,20.242797081643133,58.67543693914857,00-0033537,Derrick,Watson,4,D.Watson
4718,2024,REG,0,Skylar Thompson,QB,MIA,2.6509393939393937,4.302857142857142,6.655937499999999,-2.353080357142858,3.0303030303030303,32.21563129910696,-2.8753125,33,187,0,0,78.72474747474747,21,63.63636363636363,69.62572552941062,-5.989361893046983,19.551651905569138,45.02747272499313,00-0037327,Skylar,Thompson,19,S.Thompson
4719,2024,REG,0,Kirk Cousins,QB,ATL,2.681951807228916,5.394464285714285,7.438734177215189,-2.044269891500904,20.238095238095237,41.68103645544338,-1.0802531645569622,84,626,4,3,89.68253968253968,56,66.66666666666666,64.10389673851785,2.5627699281488105,20.556250555708274,47.33971377184277,00-0029604,Kirk,Cousins,18,K.Cousins
4720,2024,REG,0,Patrick Mahomes,QB,KC,2.6353152173913044,2.8346875000000002,4.595232558139536,-1.7605450581395354,7.608695652173914,48.19104688632526,-3.7187209302325583,92,659,5,4,89.90036231884056,64,69.56521739130434,71.95447226581366,-2.3892548745093194,17.66373735113713,50.31283136536842,00-0033873,Patrick,Mahomes,15,P.Mahomes
4721,2024,REG,0,Bryce Young,QB,CAR,2.683607142857143,4.3829032258064515,7.382222222222222,-2.99931899641577,19.642857142857142,35.38808415272011,-1.5066666666666666,56,245,0,3,44.12202380952381,31,55.35714285714286,64.37019363843969,-9.013050781296826,20.984769238646642,54.10655505574163,00-0039150,Bryce,Young,9,B.Young
4722,2024,REG,0,Justin Herbert,QB,LAC,2.847671875,4.678139534883721,7.106885245901639,-2.4287457110179176,9.375,40.72589471085933,-1.8767213114754107,64,399,4,1,98.37239583333334,43,67.1875,67.75082694366574,-0.5633269436657429,19.291748157217885,44.669516451378776,00-0036355,Justin,Herbert,10,J.Herbert
4723,2024,REG,0,Caleb Williams,QB,CHI,2.7210512820512824,4.452428571428571,8.563063063063062,-4.110634491634491,11.016949152542372,57.29503294352836,-0.5990990990990993,118,630,2,4,65.28954802259886,70,59.32203389830508,64.18150063225274,-4.859466733947656,22.68817842882286,57.29503294352836,00-0039918,Caleb,Williams,18,C.Williams
