,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
0,FC,2024-09-17,91.7,-2.21,4.98,"Wheeler, Zack",641343,554430,field_out,hit_into_play,,,,,6,Jake Bauers flies out to right fielder Nick Castellanos.,R,L,R,MIL,PHI,X,9.0,fly_ball,2,1,2024,-0.01,0.65,0.75,2.64,,,,2,7,Bot,188.7,118.32,,,592663,,,7.639588228089408,-133.34037607930566,-1.4655892444778744,-1.7777286877104814,28.663290321955124,-24.25844766311988,3.56,1.7,254.0,79.7,44.0,93.2,2539,7.2,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.28,0.011,0.01,0.0,1.0,0.0,0.0,3.0,56,4,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,214,-0.01,-0.117,74.83261,7.31234
1,FF,2024-09-17,94.6,-2.09,5.05,"Wheeler, Zack",641343,554430,,called_strike,,,,,11,Jake Bauers flies out to right fielder Nick Castellanos.,R,L,R,MIL,PHI,S,,,2,0,2024,-0.64,1.35,-0.92,3.01,,,,2,7,Bot,,,,,592663,,,4.55670465805018,-137.67807846665212,-2.679736448368697,-9.092726377865684,30.824683860167116,-14.575706975700427,3.47,1.62,,,,96.1,2436,7.2,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.31,,,,,,,,56,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,223,0.0,-0.023,,
2,FF,2024-09-17,94.6,-2.06,5.1,"Wheeler, Zack",641343,554430,,ball,,,,,11,Jake Bauers flies out to right fielder Nick Castellanos.,R,L,R,MIL,PHI,B,,,1,0,2024,-0.76,1.27,-1.01,3.5,,,,2,7,Bot,,,,,592663,,,4.522350019219315,-137.67689845388225,-1.3383760080368317,-10.685645629991576,31.102235132226006,-15.942801918326142,3.5,1.7,,,,96.5,2466,7.4,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.08,,,,,,,,56,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,225,0.0,0.026,,
3,ST,2024-09-17,83.1,-2.36,4.97,"Wheeler, Zack",641343,554430,,ball,,,,,13,Jake Bauers flies out to right fielder Nick Castellanos.,R,L,R,MIL,PHI,B,,,0,0,2024,0.78,0.0,-1.49,1.77,,,,2,7,Bot,,,,,592663,,,0.4675784885230929,-120.97685488372046,-0.8303414672600702,7.530314199198801,24.714010754292943,-32.25122980174221,3.49,1.69,,,,83.7,2454,6.8,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.71,,,,,,,,56,1,Sweeper,1,4,1,4,4,1,1,4,Standard,Standard,66,0.0,0.015,,
4,FF,2024-09-17,95.4,-2.11,4.98,"Wheeler, Zack",642715,554430,field_out,hit_into_play,,,,,8,"Willy Adames grounds out, pitcher Zack Wheeler to first baseman Bryce Harper.",R,R,R,MIL,PHI,X,1.0,ground_ball,1,0,2024,-1.0,0.85,-0.17,1.9,,,,1,7,Bot,128.42,182.43,,,592663,,,7.497546512399459,-138.74937197907423,-4.45622325268175,-14.609240055290568,30.1670485660754,-20.365966720045872,3.44,1.7,10.0,103.3,-10.0,97.3,2360,7.3,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.18,0.303,0.294,0.0,1.0,0.0,0.0,2.0,55,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,228,-0.016,-0.186,74.27464,7.30447
5,FF,2024-09-17,93.5,-2.15,4.91,"Wheeler, Zack",642715,554430,,ball,,,,,11,"Willy Adames grounds out, pitcher Zack Wheeler to first baseman Bryce Harper.",R,R,R,MIL,PHI,B,,,0,0,2024,-0.92,0.98,-0.55,4.11,,,,1,7,Bot,,,,,592663,,,6.274966664306199,-136.10403886668956,1.537724128327718,-12.856248748827314,29.32252221697622,-20.47877646266914,3.44,1.69,,,,95.1,2058,7.2,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.31,,,,,,,,55,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,230,0.0,0.025,,
6,FS,2024-09-17,86.7,-2.16,5.01,"Wheeler, Zack",669003,554430,field_out,hit_into_play,,,,,7,"Garrett Mitchell grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,X,6.0,ground_ball,2,2,2024,-1.15,0.66,-0.29,1.66,,,,0,7,Bot,118.27,144.79,,,592663,,,6.944931350468311,-126.03485807088134,-3.1795115737644792,-13.68089106366072,25.862439453469417,-24.71162905111647,3.49,1.62,45.0,70.7,3.0,88.2,1547,7.3,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.2,0.126,0.149,0.0,1.0,0.0,0.0,2.0,54,5,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,237,-0.027,-0.203,70.70262,8.61428
7,ST,2024-09-17,85.9,-2.32,4.98,"Wheeler, Zack",669003,554430,,foul,,,,,7,"Garrett Mitchell grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,S,,,2,1,2024,0.33,0.33,-0.44,1.69,,,,0,7,Bot,,,,,592663,,,3.8195202007491895,-125.06340542778184,-2.2434486761881542,2.7076596290217028,24.425789115271584,-28.48797873687113,3.49,1.62,175.0,66.7,46.0,87.0,2574,6.9,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.61,,,,,,,,54,4,Sweeper,1,4,1,4,4,1,1,4,Standard,Standard,71,0.0,-0.062,77.31682,7.91102
8,FF,2024-09-17,93.7,-2.08,5.08,"Wheeler, Zack",669003,554430,,ball,,,,,11,"Garrett Mitchell grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,B,,,1,1,2024,-0.81,1.27,-0.8,3.93,,,,0,7,Bot,,,,,592663,,,5.215312956775659,-136.35205421580474,-0.0421884414305004,-11.25666416905604,29.74865722564623,-16.534725926493515,3.54,1.65,,,,95.7,2297,7.4,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.08,,,,,,,,54,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,226,0.0,0.048,,
9,FF,2024-09-17,94.0,-2.14,5.03,"Wheeler, Zack",669003,554430,,swinging_strike,,,,,12,"Garrett Mitchell grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,S,,,1,0,2024,-0.81,1.18,0.01,3.69,,,,0,7,Bot,,,,,592663,,,7.503299540080421,-136.77661381531902,-0.3732534812537266,-11.876040611956611,30.081350552010832,-17.52307217965325,3.49,1.62,,,,95.7,2400,7.3,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.25,,,,,,,,54,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,230,0.0,-0.044,80.18074,7.11399
