,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
0,"Webb, Logan",657277,5.3,39.9,2.6,,30.9,,,,21.3,
1,"Nola, Aaron",605400,27.8,20.4,9.2,,9.6,32.9,,,,
2,"Cease, Dylan",656302,43.5,,0.6,42.9,0.9,7.9,,,4.2,
3,"Wheeler, Zack",554430,41.4,19.0,9.6,,,10.1,7.3,,12.5,
4,"Ragans, Cole",666142,41.8,,11.3,12.8,23.7,10.4,,,,
5,"Lugo, Seth",607625,24.0,18.5,8.2,9.5,6.9,16.1,2.6,,4.0,10.1
6,"Rodón, Carlos",607074,49.4,,3.5,26.0,12.9,8.3,,,,
7,"Peralta, Freddy",642547,53.9,,,21.6,17.5,7.1,,,,
8,"Irvin, Jake",663623,37.9,20.5,6.5,0.3,3.5,31.3,,,,
9,"Gilbert, Logan",669302,30.8,1.5,10.6,32.0,,11.8,13.4,,,
10,"Manaea, Sean",640455,11.3,44.7,7.1,5.9,11.8,,,,19.2,
11,"Burnes, Corbin",669203,,7.8,45.0,12.8,11.1,21.5,,,1.8,
12,"Gore, MacKenzie",669022,55.3,,,14.3,9.3,19.6,,,1.6,
13,"López, Pablo",641154,40.8,7.3,,,20.1,9.9,,,21.9,
14,"Kirby, George",669923,33.9,23.6,0.4,23.7,,8.2,10.2,0.0,,
15,"Singer, Brady",663903,11.3,41.3,,40.3,1.9,,,,5.2,
16,"Bassitt, Chris",605135,4.5,40.7,19.7,4.4,5.3,13.7,4.3,,7.4,
17,"Kikuchi, Yusei",579328,47.0,,,23.6,11.1,18.3,,,,
18,"Berríos, José",621244,18.3,33.7,3.5,,16.0,,,,,28.6
19,"Anderson, Tyler",542881,39.6,3.3,18.5,1.3,37.1,0.1,,,,
20,"King, Michael",650633,24.1,27.9,,5.6,24.6,,,,17.8,
21,"Fedde, Erick",607200,0.3,30.8,32.3,,16.4,,,,20.2,
22,"Brown, Hunter",686613,34.8,18.1,16.8,5.3,12.6,12.5,,,,
23,"Severino, Luis",622663,35.5,24.8,8.1,7.0,7.5,,,,17.2,
24,"Corbin, Patrick",571578,7.6,33.8,19.2,34.3,3.4,1.7,,,,
25,"Canning, Griffin",656288,37.6,1.0,,24.0,26.7,10.7,,,,
26,"Gausman, Kevin",592332,52.8,5.4,,8.4,,,33.4,,,
27,"Castillo, Luis",622491,45.3,18.0,,22.4,14.3,,,,,
28,"Sears, JP",676664,36.3,10.6,,9.8,19.2,,,,24.1,
29,"Bibee, Tanner",676440,43.4,0.3,24.5,6.9,18.0,6.9,,,,
30,"Cortes, Nestor",641482,44.2,1.4,28.0,0.9,9.7,,,,15.8,
31,"Keller, Mitch",656605,30.4,22.0,12.2,9.5,0.7,9.6,,,15.5,
32,"Skubal, Tarik",669373,33.2,20.5,,14.9,27.2,4.2,,,,
33,"Crawford, Kutter",676710,33.7,,32.1,,,7.2,8.6,,18.5,
34,"Quintana, Jose",500779,22.5,30.4,,,19.3,21.9,,,,6.0
35,"Sale, Chris",519242,37.8,7.2,,40.3,14.7,,,,,
36,"Sánchez, Cristopher",650911,,47.3,0.1,16.9,35.7,,,,,
